"Year","Sex","Age group","Country/Region/World","ISO","Prevalence of BMI < -2SD (thinness)","Prevalence of BMI < -2SD (thinness) lower 95% uncertainty interval","Prevalence of BMI < -2SD (thinness) upper 95% uncertainty interval","Prevalence of BMI > 2SD (obesity)","Prevalence of BMI > 2SD (obesity) lower 95% uncertainty interval","Prevalence of BMI > 2SD (obesity) upper 95% uncertainty interval","Combined prevalence of BMI < -2SD and BMI > 2SD (double burden of thinness and obesity)","Combined prevalence of BMI < -2SD and BMI > 2SD (double burden of thinness and obesity) lower 95% uncertainty interval","Combined prevalence of BMI < -2SD and BMI > 2SD (double burden of thinness and obesity) upper 95% uncertainty interval","Prevalence of -2SD ≤ BMI < -1SD","Prevalence of -2SD ≤ BMI < -1SD lower 95% uncertainty interval","Prevalence of -2SD ≤ BMI < -1SD upper 95% uncertainty interval","Prevalence of -1SD ≤ BMI ≤ 1SD","Prevalence of -1SD ≤ BMI ≤ 1SD lower 95% uncertainty interval","Prevalence of -1SD ≤ BMI ≤ 1SD upper 95% uncertainty interval","Prevalence of 1SD < BMI ≤ 2SD","Prevalence of 1SD < BMI ≤ 2SD lower 95% uncertainty interval","Prevalence of 1SD < BMI ≤ 2SD upper 95% uncertainty interval"
2019,"Girls",5,"Central and eastern Europe",NA,0.03861284581212809,0.029731505784016024,0.049445317441644425,0.08727812793364789,0.07083043658473626,0.10554773719768601,0.12589097374577599,0.10751559089317367,0.14562934116322446,0.1374165052346243,0.12012690967284538,0.15535302693369926,0.5836726445445054,0.559675904318165,0.6073898318900622,0.15301987647509427,0.13423634449038568,0.17249925808829647
2020,"Girls",5,"Central and eastern Europe",NA,0.038902231901020344,0.02949487328071231,0.050561729825919624,0.08741222094172559,0.0699422748298251,0.10711697547489427,0.12631445284274592,0.10679758899845407,0.1474453507662944,0.1373209113997587,0.11922147623634873,0.15635560860465356,0.5829344409269709,0.5567683208465398,0.6082885134521395,0.15343019483052464,0.13334721827546758,0.17440322668793673
2021,"Girls",5,"Central and eastern Europe",NA,0.039221584695338256,0.02917036433865251,0.051944609935231235,0.08745097286185897,0.06858502849283965,0.10863391129412808,0.12667255755719722,0.10546622469564966,0.14986758585468976,0.13730500681458294,0.11782847132659746,0.15794792127571844,0.5823074769112861,0.5538464993921302,0.6100021795979739,0.15371495871693364,0.13165239355288533,0.17643125953813482
2022,"Girls",5,"Central and eastern Europe",NA,0.039571075588312396,0.028573369284753614,0.053613142778867265,0.08747302686886392,0.06691495819895525,0.11091617767715652,0.12704410245717634,0.10429073104172822,0.15255799895735225,0.13730827769727852,0.11652067110710998,0.15951119009550888,0.5817413488559197,0.5503992682171279,0.6120873796015387,0.15390627098962548,0.12990148494537834,0.17911647633964237
1990,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.07403450964177785,0.056009144564731536,0.09784654691840533,0.058409695982745834,0.03747722129606191,0.08400529161747824,0.1324442056245237,0.10473865735033183,0.16436072612867883,0.15307048966098394,0.1257483156767259,0.18370845840835803,0.6002601522600977,0.5599241757916782,0.6377085952501135,0.11422515245439467,0.0872337438482473,0.14542901336644126
1991,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.07270089341140928,0.05535514730746185,0.0951184522271839,0.06066139865067522,0.04012845235678052,0.08594064281821463,0.1333622920620845,0.1066296096946384,0.16412889405908257,0.15208022258423742,0.12585367741725853,0.18131633513524623,0.6007415425894178,0.5625182987634889,0.6364725974294395,0.11381594276426035,0.08791500501772624,0.1428451120139218
1992,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.07122680315861331,0.0547734950689374,0.0923195700993931,0.0629930699195775,0.04280860614335584,0.08733624753697672,0.1342198730781908,0.10794062503409166,0.16406984669060595,0.15088694726666957,0.1256608000455304,0.1791876329312453,0.6009854971214166,0.5639568612470449,0.6358540589195556,0.11390768253372303,0.08891994962911731,0.14170033420317354
1993,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.0696310224753029,0.053887997660333135,0.08999062141486078,0.06534129024794658,0.04543263781757344,0.08907176439726577,0.13497231272324947,0.10964348521680843,0.16352570377182288,0.14950391026083848,0.12496676154187687,0.1766248126238709,0.6009674427488937,0.5652072808531039,0.6345965609743205,0.1145563342670183,0.09042096111855152,0.1415232349358964
1994,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.06796755361890135,0.05269180255696418,0.08753618522427617,0.06765804905274815,0.04806114591859645,0.09110427386742226,0.1356256026716495,0.11089344511312657,0.16337468269826233,0.1479887892701464,0.12394604733944116,0.17389319594873012,0.6007731619286283,0.5660863904919055,0.633704628171056,0.11561244612957591,0.09239261929432425,0.14162784841050532
1995,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.06628299514691591,0.05138359617003007,0.08510031562936037,0.06994636090905515,0.050480757653028514,0.09303133895734543,0.13622935605597106,0.11192106733987922,0.16325636232164606,0.1463757645374829,0.12280295358288364,0.17161177290778828,0.6004757120153181,0.5662875393736467,0.6323813812845589,0.11691916739122785,0.09452953648087405,0.14242430271789175
1996,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.06456536401502465,0.0501513268911142,0.08278660452162083,0.07224965550041329,0.052732321671251386,0.09500279138474944,0.13681501951543792,0.11314368595220033,0.16358499663295423,0.14461757278248744,0.12179673225034718,0.1693534344249587,0.6000645723309352,0.5667420406117423,0.631680519875049,0.11850283537113926,0.09644798725316264,0.1435260968100881
1997,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.06288240736091626,0.04895092090185815,0.08043464110681661,0.0745225689984116,0.055212894820234254,0.09693486354613264,0.13740497635932786,0.1141594910726788,0.16352389241554127,0.14277077779496872,0.12015696746753032,0.1673634337473257,0.5995686162885739,0.5669612816538658,0.6308139094829284,0.1202556295571295,0.09856711170491192,0.14456015652501678
1998,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.061271428893565204,0.04762684706377758,0.0784385440036254,0.0768075722730255,0.057449452463747906,0.09924829578902691,0.1380790011665907,0.1153715853349974,0.16416339481113817,0.14084980576038558,0.11839114000523768,0.1654362833937921,0.5989224808665515,0.5672067374854723,0.6298587972209108,0.12214871220647215,0.1007534204986421,0.14630484611080533
1999,"Girls",5,"Central Asia, Middle East and north Africa",NA,0.05976686086550708,0.046421177483777824,0.07662669388611586,0.07918218463221274,0.05981342839015904,0.10192602650630711,0.13894904549771983,0.1163612493184429,0.1649612760221595,0.13888325531303133,0.11703612217871459,0.16344408641596714,0.5979965058973256,0.566338132478099,0.6287504705119589,0.1241711932919233,0.10305936522670821,0.14794699501734349
