"Country","ISO","Sex","Year","Age-standardised prevalence of diabetes (18+ years)","Age-standardised prevalence of diabetes (18+ years) lower 95% uncertainty interval","Age-standardised prevalence of diabetes (18+ years) upper 95% uncertainty interval","Age-standardised proportion of people with diabetes who were treated (30+ years)","Age-standardised proportion of people with diabetes who were treated (30+ years) lower 95% uncertainty interval","Age-standardised proportion of people with diabetes who were treated (30+ years) upper 95% uncertainty interval","Crude prevalence of diabetes (18+ years)","Crude prevalence of diabetes (18+ years) lower 95% uncertainty interval","Crude prevalence of diabetes (18+ years) upper 95% uncertainty interval","Crude proportion of people with diabetes who were treated (30+ years)","Crude proportion of people with diabetes who were treated (30+ years) lower 95% uncertainty interval","Crude proportion of people with diabetes who were treated (30+ years) upper 95% uncertainty interval"
"Indonesia","IDN","Women",2010,0.0657044125388918,0.0421048069115616,0.0944383063943514,0.263678384647763,0.154549156164493,0.398621397432076,0.0600415563328685,0.0381840294525956,0.0870690472597465,0.259621947937835,0.151591715078224,0.394310506855628
"Indonesia","IDN","Women",2011,0.0694149825854836,0.0450329249657684,0.0989763341407851,0.263127869456246,0.157332626634492,0.391994137741776,0.064054966691509,0.0411316252976836,0.0918738797439295,0.259087668797336,0.154055678383028,0.387742883675806
"Indonesia","IDN","Women",2012,0.073531160985883,0.0479691878669123,0.104192878339679,0.262224428064712,0.160380633668976,0.388146783192294,0.0685223956825953,0.0445718369776317,0.0973961127275396,0.258271295934033,0.157427521302117,0.382564266356624
"Indonesia","IDN","Women",2013,0.0781395145559968,0.051901763748601,0.10933868131842,0.261009750391128,0.161840353961518,0.384164096979913,0.0735379593234181,0.0485797155301604,0.103490511762425,0.257211068034639,0.159074043235085,0.380118865037953
"Indonesia","IDN","Women",2014,0.0833110667070189,0.0562270498203658,0.115402132989883,0.259539421242314,0.162637911726512,0.377862259232735,0.0791768962167227,0.0531750374723383,0.110281145118186,0.255967825448972,0.160019696620777,0.374488096464011
"Indonesia","IDN","Women",2015,0.0890925530489552,0.060578904035352,0.123342533551503,0.257933289686113,0.161437906417439,0.372947657537755,0.0854964348267279,0.0580177542852054,0.118782656943888,0.254692314033242,0.158933437916023,0.369626665969754
"Indonesia","IDN","Women",2016,0.0954968403581078,0.0650809926159235,0.13232133261091,0.256150843062517,0.160523124425836,0.368178529359153,0.0925460173084192,0.062920535883041,0.128540766949743,0.253362580663068,0.158625898421954,0.36528808417618
"Indonesia","IDN","Women",2017,0.102435885810156,0.0694032567617776,0.143377663742108,0.254327326233403,0.158320976246416,0.365181309452565,0.100277278815841,0.0676905671564957,0.140846497462455,0.252081344899923,0.15683867405839,0.363296444776703
"Indonesia","IDN","Women",2018,0.109929310179476,0.0739020535554338,0.155125198632153,0.252497175688451,0.156136975549578,0.364192860728373,0.108727876398701,0.0726918652824977,0.15393471388224,0.250856776168648,0.154895908583317,0.362430824240661
"Indonesia","IDN","Women",2019,0.11798780895241,0.0773327992104937,0.168411151286217,0.250795222836634,0.153111487297977,0.36574437067286,0.11789812604011,0.0770501704061006,0.16842034340345,0.24982576778838,0.152575230762144,0.363840019526716
"Indonesia","IDN","Women",2020,0.126553066244019,0.0802194009434265,0.184265243705928,0.249280907226141,0.148100999185675,0.370850121006445,0.127618908125893,0.0805500388802223,0.186455005041844,0.2490441597183,0.1476880668604,0.369688550814369
"Indonesia","IDN","Women",2021,0.135664907507402,0.0823289349255885,0.204392678095703,0.247900589885923,0.141138846130456,0.377408867674097,0.137790324652558,0.0835310592430488,0.207809194592535,0.248382621263596,0.141569113751877,0.378888695412386
"Indonesia","IDN","Women",2022,0.145318897608419,0.0836034351087406,0.227328161819849,0.24665382355279,0.133003388316689,0.384362461233021,0.148736011843364,0.0852795126125026,0.232526236519573,0.247897066662627,0.134029448666627,0.38632337847374
