"Country/Region/World","ISO","Sex","Year","Age","Prevalence of diabetes (18+ years)","Prevalence of diabetes (18+ years) lower 95% uncertainty interval","Prevalence of diabetes (18+ years) upper 95% uncertainty interval","Proportion of people with diabetes who were treated (30+ years)","Proportion of people with diabetes who were treated (30+ years) lower 95% uncertainty interval","Proportion of people with diabetes who were treated (30+ years) upper 95% uncertainty interval"
"Global",NA,"Men",2013,"Crude",0.10830299794503,0.102792633720638,0.114105206823187,0.367496628889955,0.349086129488835,0.385859579340779
"Global",NA,"Men",2014,"Crude",0.111597528855633,0.105838660228918,0.117815322110233,0.372354727879629,0.352834892218434,0.391798432620047
"Global",NA,"Men",2015,"Crude",0.115190900759125,0.10891408487536,0.122017580123213,0.376829102160864,0.355900476346399,0.397967572373215
"Global",NA,"Men",2016,"Crude",0.119092940316376,0.112151318264914,0.126714288969567,0.38077719572792,0.358048980429594,0.403525858427573
"Global",NA,"Men",2017,"Crude",0.123184473749986,0.115103128623314,0.131997572298486,0.38430276827741,0.359328729928673,0.408668092342226
"Global",NA,"Men",2018,"Crude",0.12744104762909,0.117838975531176,0.137720805067226,0.387565863279807,0.359658802419861,0.415118418253353
"Global",NA,"Men",2019,"Crude",0.1319127009915,0.120625297062677,0.144210923903142,0.390695275276009,0.359628499739404,0.421295197278932
"Global",NA,"Men",2020,"Crude",0.136571646919733,0.123082992238251,0.151226612643439,0.393656086783482,0.358357168842512,0.428736956875104
"Global",NA,"Men",2021,"Crude",0.141314828564791,0.125458194587943,0.159120921393933,0.396533463748236,0.356383875231668,0.436401825376614
"Global",NA,"Men",2022,"Crude",0.146333717991763,0.127781749511498,0.167429132319383,0.399666885399925,0.354762028630248,0.444654280443537
"Global",NA,"Women",1990,"Crude",0.0630956694658437,0.0524397210376892,0.07490286025401,0.308083281736902,0.258878857379243,0.361936115614999
"Global",NA,"Women",1991,"Crude",0.0644686427521284,0.0544651603863842,0.0756379719849455,0.310216264003888,0.263467032492563,0.361307096622492
"Global",NA,"Women",1992,"Crude",0.0659065412561346,0.0563673116188203,0.0761855743175233,0.312318823586857,0.26778879879746,0.360833518161664
"Global",NA,"Women",1993,"Crude",0.0673877530467177,0.0583243485920589,0.077321335545851,0.314281084176763,0.272015114702961,0.35995689462056
"Global",NA,"Women",1994,"Crude",0.0688680723112508,0.0602542275897686,0.0784731655284687,0.316302192298506,0.276012899961687,0.359865323810043
"Global",NA,"Women",1995,"Crude",0.0703452335534043,0.0620787856727593,0.0796847862598412,0.318341734203201,0.280183813537394,0.360152709861404
"Global",NA,"Women",1996,"Crude",0.0717945810547906,0.063878725207087,0.0806293993058286,0.320458496406512,0.284029422773472,0.360060092395484
"Global",NA,"Women",1997,"Crude",0.0732173390365021,0.0655221953621058,0.0816102406990073,0.322726405051112,0.288210438318427,0.360592501885093
"Global",NA,"Women",1998,"Crude",0.0746091710844887,0.0671804651515199,0.082470542291799,0.324971737024404,0.291954909203805,0.360424981692522
"Global",NA,"Women",1999,"Crude",0.0759828319123936,0.068890541962563,0.0834772375569018,0.327306272142137,0.295924526757344,0.36095931898077
"Global",NA,"Women",2000,"Crude",0.0773776987126431,0.0705913031547035,0.0844325063947733,0.329816382689456,0.300138756157782,0.36155183679758
"Global",NA,"Women",2001,"Crude",0.0788715672122085,0.0723113656272082,0.085636020799332,0.332612735417283,0.304615714778573,0.362738910321356
"Global",NA,"Women",2002,"Crude",0.0805084507042359,0.074211501959171,0.0870502030818556,0.335644573273577,0.308778111415755,0.363881373947499
"Global",NA,"Women",2003,"Crude",0.0822533099084309,0.0761257847453533,0.0886120613336784,0.33881954251104,0.313475542593625,0.365482878603614
"Global",NA,"Women",2004,"Crude",0.0840754200184,0.0782413944508617,0.0901541774748336,0.342182147699106,0.318356762350897,0.367586985256942
"Global",NA,"Women",2005,"Crude",0.0859973673830255,0.0803424185569489,0.0918719874605463,0.345794050229083,0.323313825955507,0.369597113199223
"Global",NA,"Women",2006,"Crude",0.0880446210076659,0.0826115561459659,0.0937255825897941,0.349602984358963,0.328308818908018,0.37240122758078
