"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity)","Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity) upper 95% uncertainty interval","Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity) lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval"
2010,"Women","Central and eastern Europe",NA,0.03834557159874077,0.042833958277084694,0.034193037503966905,0.24254235127015755,0.2522745240103695,0.2328553616651748,0.2808879228688983,0.29155884639506535,0.27061323328034576,0.07027876006755016,0.07517339159127584,0.06554733280003035,0.36842454310643646,0.3786881293131347,0.35778470926048833,0.2804087719571151,0.29044748188427794,0.27018347839786616,0.15727128966627088,0.16636312571616826,0.1487600284377312,0.060774809330463704,0.06647396908869346,0.05530702666372174,0.024496252273422926,0.028514648829895337,0.021025212628994976
2011,"Women","Central and eastern Europe",NA,0.03855808321722155,0.04325584587778871,0.034268701833846414,0.24400097457959855,0.25401765714553093,0.23410023657779275,0.2825590577968201,0.293494793885695,0.271906294277118,0.07033787092979463,0.07535713244485112,0.0654605254630553,0.36747927980035766,0.37813793327336176,0.35666067344443664,0.2796237894730276,0.28990835306319873,0.2690742234534752,0.15789800161289044,0.16727969639193144,0.14925613175663657,0.061102840621342,0.06694509893837486,0.05545783297621742,0.025000132345366122,0.029093769222293644,0.021420175207410283
2012,"Women","Central and eastern Europe",NA,0.03874434222195003,0.0436459998203892,0.03424650421157594,0.24534454581776666,0.2556290860646947,0.23528156744512338,0.28408888803971666,0.2953675683287653,0.2732437220503612,0.07037046456096398,0.07560180249690937,0.06526925405598785,0.3666063596232677,0.37760719177558905,0.35537601813254066,0.27893428577605167,0.2896975730570224,0.26816617924223934,0.15848587036062053,0.1679553824839579,0.14952391184934244,0.06134910389394011,0.06740929090376625,0.055535150121687034,0.02550957156320598,0.029738121416864764,0.02185376607102104
2013,"Women","Central and eastern Europe",NA,0.038892793736076695,0.044016937894124475,0.034133874819774083,0.24656718996492322,0.25720837722983514,0.2361849590667388,0.28545998370099995,0.29711286121038144,0.27406023765478016,0.07037946161173442,0.07580314308125274,0.0650916561051952,0.36581236292853186,0.37720598957153206,0.3541812833994002,0.27834818975873377,0.28971388695756367,0.26721644929923755,0.1590277377999625,0.168891790433516,0.1496136138447585,0.06151141105090805,0.06764329601956723,0.05555864166767718,0.02602804111405271,0.030340395926325727,0.022252320763339595
2014,"Women","Central and eastern Europe",NA,0.03901357681618694,0.044475784969035405,0.033937614217539123,0.24766077178262255,0.2589127747004626,0.23668451418954922,0.28667434859880947,0.2990347965698553,0.2746558020672729,0.07037110112163435,0.07615747483052697,0.06486467280335724,0.3650722534082085,0.3771443562384067,0.35279283595389105,0.2778822948713477,0.29021934190224546,0.26642479582326484,0.15950135670754087,0.16981172435167496,0.14947786597210627,0.06160920087458513,0.06794726884031865,0.055486333869452446,0.026550214200496535,0.03109879810026511,0.022569135449691354
2015,"Women","Central and eastern Europe",NA,0.039114466851078604,0.04504213763431631,0.03371779190359082,0.2486955406045724,0.2609269620099412,0.23691955330781359,0.287810007455651,0.30096283242007904,0.2750976299973482,0.07034831439686565,0.07666484297806055,0.06447822472921665,0.3643357337969865,0.3771244897753007,0.35114530683501516,0.27750594235049686,0.2906573291225631,0.26544448541912713,0.15993551101298334,0.170911309623195,0.14913510942228383,0.06166149663196827,0.06850186049292488,0.055222169325910134,0.0270985329596208,0.03209798736191216,0.022822659726261983
2016,"Women","Central and eastern Europe",NA,0.03919494400139527,0.04552850326863474,0.033435914722279206,0.24964813769824284,0.26281146261367644,0.237009178754895,0.2888430816996381,0.3031715260201392,0.2750505778333211,0.07032315007928215,0.07710233649650496,0.06403133313925648,0.36363752593475895,0.37738822551198337,0.3494500455723528,0.2771962402863207,0.2914693482637865,0.2639499677403757,0.16031083394984538,0.1723105915828505,0.1487729408627999,0.06166238207881805,0.06903556879355502,0.054755274237844064,0.027674921669579453,0.0330282504427179,0.02306334668955395
2017,"Women","Central and eastern Europe",NA,0.03927342836554673,0.04621813274626064,0.0330919163286714,0.2505354077418939,0.2649291998215535,0.2367148662910371,0.2898088361074406,0.30544121974947536,0.27475653287276597,0.07030326367919296,0.07772317031182065,0.06347723124812264,0.3629453373571609,0.37814371572182337,0.34732344546074245,0.2769425608562055,0.29239777605404027,0.2624735768074599,0.1606326830243208,0.17389601132985685,0.14791416285640288,0.06161676604513049,0.0697385974833676,0.0540294304679032,0.028285958672442657,0.034212462601538846,0.02328455395129075
2018,"Women","Central and eastern Europe",NA,0.03935977640068844,0.04710381395983714,0.03267291185371245,0.25133837735825015,0.26719488394514906,0.23625776476860272,0.2906981537589386,0.3077039673553677,0.2742528562215864,0.07028817321623296,0.07848653742086155,0.06291985210733754,0.36227349744075726,0.3792124689470986,0.34515655253067323,0.2767401735840712,0.2940584644004133,0.26046293712117774,0.16089173506414783,0.17569770541025856,0.1468661591771785,0.06152362845174579,0.0706808245527387,0.053048063371513764,0.02892301384235652,0.03565737926801708,0.023480369219824677
2019,"Women","Central and eastern Europe",NA,0.03946504558936593,0.04791669928405616,0.03220724245109553,0.2520884650408893,0.26997009446456954,0.23545331272223258,0.29155351063025525,0.31033812190311383,0.27337984915152086,0.07029414321766546,0.07938353297771561,0.06226831247572401,0.36160871685532436,0.3802451125651693,0.3429140014123137,0.27654362729675497,0.2954346710482505,0.2585830201822098,0.16109596181926406,0.17740072104248347,0.14548440563363083,0.061399769896527644,0.0717405807128113,0.05216424690813777,0.029592733325097625,0.03711141757023533,0.023561829132512178
